Species	feces1	feces2	feces3	feces4	feces5	feces6	plaque1	plaque2	plaque3	plaque4	plaque5	plaque6	saliva1	saliva2	saliva3	saliva4	saliva5	saliva6	All
Neisseria subflava	0	0	0	0	0	0	0	0	0	0	0	0.306	0.306	0	0	0	0	0	0.1
Megasphaera micronuciformis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.917	0	0	1.22	0.1
Leptotrichia sp. oral clone IK040	0	0	0	0	0	0.306	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Metamycoplasma faucium	0	0	0	0	0	0	0.917	0	1.53	0	0.306	0	0	0	0	0	0	0	0.1
Neisseria bacilliformis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Mogibacterium timidum	0	0	0	0	0	0	0.306	0.306	0	0	0	0	0.917	0	0	0	0	0	0.1
Porphyromonas sp. oral taxon 278 str. W7784	0	0	0	0	0	0	0	0	0	0	0	0	0.306	0	0	0	0	0	0.1
Porphyromonas sp. oral clone AW032	0	0	0	0	0	0	0	0	0	0	0	0	0	0.306	1.22	0	0	0	0.1
Prevotella buccae	0	0	0	0	0	0	0	0.612	0	0	0	0	0	0	0	0	0	0	0.1
Prevotella denticola	0	0	0	0	0	0	0	0.306	2.75	0	0	0	0.306	0	0	0	0	0	0.1
Prevotella copri DSM 18205	0	0	0.612	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Parabacteroides johnsonii	0	0	0	0	1.22	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Oribacterium sp. oral taxon 078 str. F0262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Parabacteroides merdae	0.612	0.612	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Peptococcus-like sp. oral clone I070	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Parvimonas micra	0	0	0	0	0	0	0.917	0.306	0	0	0.306	0.306	0	0	0	0	0	0	0.1
