Species	E1	E2	E3	E4	E5	E6	E7	N1	N2	O1	O2	S1	All
Pseudochloris wilhelmii	0.719	0	0	0	0	0	0	0	0	0	0	0	0.0
Pseudodesulfovibrio indicus	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Psychroflexus salis	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Rheinheimera baltica	0	0	0	0	0.719	0	0	0	0	0	0	0	0.0
Rheinheimera sp. 239	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Pyramimonas parkeae	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Rhabdochromatium marinum	0	0	0	0	0	0	0	0	0	0	0.719	0	0.0
Spirobacillus cienkowskii	0	0	0	0	0	0	0	0.719	0	0	0	0	0.0
Spirulina major PCC 6313	0	0	0	0	0	0.719	0	0	0	0	0	0	0.0
Snowella rosea 1LM40S01	0	0	0	0	0	0	0	0	0.719	0	0	0	0.0
Soortia roseihalophila	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Staphylococcus epidermidis	0	0	0	0	0	0	0	0.719	0	0	0	0	0.0
Sulfurovum sp. enrichment culture clone C5	0	0	0	0	0	0	0.719	0	0	0	0	0	0.0
Synechococcus sp. CCY9202	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Streptococcus pneumoniae	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Sulfurospirillum sp. C6	0	0	0	0	0	0	0	0	0	0	0.719	0	0.0
Rubribacterium polymorphum	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Salinirepens amamiensis	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Roseomonas sp.	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Roseovarius sp. 2S5-2	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Salinivibrio proteolyticus	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Silvimonas sp. JD7	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Skeletonema pseudocostatum	0	0	0	0	0	0	0	0	0.719	0	0	0	0.0
Schizothrix aff. septentrionalis LEGE 07164	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Serratia plymuthica	0	0	0	0	0	0	0	0	0	0	0	0	0.0
OM182 bacterium D4	0	0	0	0	0	0	0	0.719	0	0	0	0	0.0
Oceanospirillum nioense	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Nitrosococcus oceani ATCC 19707	0	0	0	0	0	0	0	0	0	0	0	0.719	0.0
Nostoc sp. 8941	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Oscillatoria sp.	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Pavlova gyrans	0	0	0	0	0	0	0	0	0	0	0	0.719	0.0
Pavlova lutheri	0.719	0	0	0	0	0	0	0	0	0	0	0	0.0
Paracoccus sp.	0	0	0	0	0	0	0	0	0	0	0	0.719	0.0
Parvularcula lutaonensis	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Methylophilaceae bacterium KM513	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Microcystis aeruginosa	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Marivita sp. CB1101	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Marsupiomonas pelliculata	0	0	0	0.719	0	0	0	0	0	0	0	0	0.0
Motiliproteus sediminis	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Nitrincola schmidtii	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Nitrincola sp.	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Mychonastes jurisii	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Neglectella solitaria	0.719	0	0	0	0	0	0	0	0	0	0	0	0.0
Porphyrobacter donghaensis	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Portibacter lacus	0	0	0	0	0	0	0.719	0	0	0	0	0	0.0
Polynucleobacter asymbioticus QLW-P1DMWA-1	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Pontimonas salivibrio	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Prochlorothrix hollandica PCC 9006 = CALU 1027	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Pseudoalteromonas sp. AB198d	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Pseudoalteromonas tunicata	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Pseudanabaena cf. persicina TAU-MAC 1415	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Pseudarcobacter venerupis	0	0	0	0	0	0	0.719	0	0	0	0	0	0.0
Phormidium sp. DVL1003c	0.719	0	0	0	0	0	0	0	0	0	0	0	0.0
Planktothrix agardhii CCAP 1459/36	0	0	0	0	0	0	0	0	0.719	0	0	0	0.0
Phacus paraorbicularis	0	0	0	0	0	0	0	0	0.719	0	0	0	0.0
Phaeodactylibacter xiamenensis	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Planktothrix sp. PCC 9018	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Plasmopara viticola	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Polynucleobacter acidiphobus	0	0	0	0	0	0	0	0	0.719	0	0	0	0.0
Planococcus maritimus	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Planococcus sp. QHL14	0	0	0	0	0	0	0	0	0	0	0	0	0.0
