BugBase_ID	KEGG_Label
M00223_Phosphonate_transport_system_	M00223  Phosphonate transport system [PATH:map02010] [BR:ko02000]
M00224_Putative_phosphonate_transport_system_	M00224  Putative phosphonate transport system [PATH:map02010] [BR:ko02000]
M00225_Lysine_arginine_ornithine_transport_system_	M00225  Lysine/arginine/ornithine transport system [PATH:map02010] [BR:ko02000]
M00226_Histidine_transport_system_	M00226  Histidine transport system [PATH:map02010] [BR:ko02000]
M00227_Glutamine_transport_system_	M00227  Glutamine transport system [PATH:map02010] [BR:ko02000]
M00228_Putative_glutamine_transport_system_	M00228  Putative glutamine transport system [PATH:map02010] [BR:ko02000]
M00229_Arginine_transport_system_	M00229  Arginine transport system [PATH:map02010] [BR:ko02000]
M00230_Glutamate_aspartate_transport_system_	M00230  Glutamate/aspartate transport system [PATH:map02010] [BR:ko02000]
M00231_Octopine_nopaline_transport_system_	M00231  Octopine/nopaline transport system [PATH:map02010] [BR:ko02000]
M00232_General_L_amino_acid_transport_system_	M00232  General L-amino acid transport system [PATH:map02010] [BR:ko02000]
M00233_Glutamate_transport_system_	M00233  Glutamate transport system [PATH:map02010] [BR:ko02000]
M00234_Cystine_transport_system_	M00234  Cystine transport system [PATH:map02010] [BR:ko02000]
M00235_Arginine_ornithine_transport_system_	M00235  Arginine/ornithine transport system [PATH:map02010] [BR:ko02000]
M00236_Putative_polar_amino_acid_transport_system_	M00236  Putative polar amino acid transport system [BR:ko02000]
M00237_Branched_chain_amino_acid_transport_system_	M00237  Branched-chain amino acid transport system [PATH:map02010] [BR:ko02000]
M00238_D_Methionine_transport_system_	M00238  D-Methionine transport system [PATH:map02010] [BR:ko02000]
M00239_Peptides_nickel_transport_system_	M00239  Peptides/nickel transport system [PATH:map02010] [BR:ko02000]
M00240_Iron_complex_transport_system_	M00240  Iron complex transport system [PATH:map02010] [BR:ko02000]
M00241_Vitamin_B12_transport_system_	M00241  Vitamin B12 transport system [PATH:map02010] [BR:ko02000]
M00242_Zinc_transport_system_	M00242  Zinc transport system [PATH:map02010] [BR:ko02000]
M00243_Manganese_iron_transport_system_	M00243  Manganese/iron transport system [BR:ko02000]
M00244_Putative_zinc_manganese_transport_system_	M00244  Putative zinc/manganese transport system [BR:ko02000]
M00245_Cobalt_transport_system_	M00245  Cobalt transport system [PATH:map02010] [BR:ko02000]
M00246_Nickel_transport_system_	M00246  Nickel transport system [PATH:map02010] [BR:ko02000]
M00247_Putative_ABC_transport_system_	M00247  Putative ABC transport system [BR:ko02000]
M00248_Putative_antibiotic_transport_system_	M00248  Putative antibiotic transport system [PATH:map02010] [BR:ko02000]
M00249_Capsular_polysaccharide_transport_system_	M00249  Capsular polysaccharide transport system [PATH:map02010] [BR:ko02000]
M00250_Lipopolysaccharide_transport_system_	M00250  Lipopolysaccharide transport system [PATH:map02010] [BR:ko02000]
M00251_Teichoic_acid_transport_system_	M00251  Teichoic acid transport system [PATH:map02010] [BR:ko02000]
M00252_Lipooligosaccharide_transport_system_	M00252  Lipooligosaccharide transport system [PATH:map02010] [BR:ko02000]
M00253_Sodium_transport_system_	M00253  Sodium transport system [PATH:map02010] [BR:ko02000]
M00254_ABC_2_type_transport_system_	M00254  ABC-2 type transport system [BR:ko02000]
M00255_Lipoprotein_releasing_system_	M00255  Lipoprotein-releasing system [PATH:map02010] [BR:ko02000]
M00256_Cell_division_transport_system_	M00256  Cell division transport system [PATH:map02010] [BR:ko02000]
M00257_Hemin_transport_system_	M00257  Hemin transport system [PATH:map02010] [BR:ko02000]
M00258_Putative_ABC_transport_system_	M00258  Putative ABC transport system [BR:ko02000]
M00259_Heme_transport_system_	M00259  Heme transport system [PATH:map02010] [BR:ko02000]
M00260_DNA_polymerase_III_complex_bacteria_	M00260  DNA polymerase III complex, bacteria [PATH:map03030 map03430 map03440] [BR:ko03032 ko03400]
M00261_DNA_polymerase_alpha_primase_complex_	M00261  DNA polymerase alpha / primase complex [PATH:map03030] [BR:ko03032]
M00262_DNA_polymerase_delta_complex_	M00262  DNA polymerase delta complex [PATH:map03030 map03410 map03420] [BR:ko03032 ko03400]
M00263_DNA_polymerase_epsilon_complex_	M00263  DNA polymerase epsilon complex [PATH:map03030] [BR:ko03032 ko03400]
M00264_DNA_polymerase_II_complex_archaea_	M00264  DNA polymerase II complex, archaea [BR:ko03032]
M00265_PTS_system_glucose_specific_II_component_	M00265  PTS system, glucose-specific II component [PATH:map00010 map02060] [BR:ko02000]
M00266_PTS_system_maltose_and_glucose_specific_II_component_	M00266  PTS system, maltose and glucose-specific II component [PATH:map00010 map00500 map02060] [BR:ko02000]
M00267_PTS_system_N_acetylglucosamine_specific_II_component_	M00267  PTS system, N-acetylglucosamine-specific II component [PATH:map00520 map02060] [BR:ko02000]
M00268_PTS_system_arbutin_like_II_component_	M00268  PTS system, arbutin-like II component [PATH:map00010 map02060] [BR:ko02000]
M00269_PTS_system_sucrose_specific_II_component_	M00269  PTS system, sucrose-specific II component [PATH:map00500 map02060] [BR:ko02000]
M00270_PTS_system_trehalose_specific_II_component_	M00270  PTS system, trehalose-specific II component [PATH:map00500 map02060] [BR:ko02000]
M00271_PTS_system_beta_glucosides_specific_II_component_	M00271  PTS system, beta-glucosides-specific II component [PATH:map02060] [BR:ko02000]
M00272_PTS_system_arbutin_cellobiose_and_salicin_specific_II_component_	M00272  PTS system, arbutin-, cellobiose-, and salicin-specific II component [PATH:map00010 map02060] [BR:ko02000]
M00273_PTS_system_fructose_specific_II_component_	M00273  PTS system, fructose-specific II component [PATH:map00051 map02060] [BR:ko02000]
M00274_PTS_system_mannitol_specific_II_component_	M00274  PTS system, mannitol-specific II component [PATH:map00051 map02060] [BR:ko02000]
M00275_PTS_system_cellobiose_specific_II_component_	M00275  PTS system, cellobiose-specific II component [PATH:map02060] [BR:ko02000]
M00276_PTS_system_mannose_specific_II_component_	M00276  PTS system, mannose-specific II component [PATH:map00051 map02060] [BR:ko02000]
M00277_PTS_system_N_acetylgalactosamine_specific_II_component_	M00277  PTS system, N-acetylgalactosamine-specific II component [PATH:map00052 map02060] [BR:ko02000]
M00278_PTS_system_sorbose_specific_II_component_	M00278  PTS system, sorbose-specific II component [PATH:map00051 map02060] [BR:ko02000]
M00279_PTS_system_galactitol_specific_II_component_	M00279  PTS system, galactitol-specific II component [PATH:map00052 map02060] [BR:ko02000]
M00280_PTS_system_glucitol_sorbitol_specific_II_component_	M00280  PTS system, glucitol/sorbitol-specific II component [PATH:map00051 map02060] [BR:ko02000]
M00281_PTS_system_lactose_specific_II_component_	M00281  PTS system, lactose-specific II component [PATH:map00052 map02060] [BR:ko02000]
M00282_PTS_system_D_glucosamine_specific_II_component_	M00282  PTS system, D-glucosamine-specific II component [PATH:map00520 map02060] [BR:ko02000]
M00283_PTS_system_ascorbate_specific_II_component_	M00283  PTS system, ascorbate-specific II component [PATH:map00053 map02060] [BR:ko02000]
M00284_Origin_recognition_complex_	M00284  Origin recognition complex [PATH:map04110 map04111 map04113] [BR:ko03032]
M00285_MCM_complex_	M00285  MCM complex [PATH:map03030 map04110 map04111 map04113] [BR:ko03032]
M00286_GINS_complex_	M00286  GINS complex [BR:ko03032]
M00287_PTS_system_galactosamine_specific_II_component_	M00287  PTS system, galactosamine-specific II component [PATH:map00052 map02060] [BR:ko02000]
M00288_RPA_complex_	M00288  RPA complex [PATH:map03030 map03420 map03430 map03440] [BR:ko03032 ko03400]
M00289_RF_C_complex_	M00289  RF-C complex [PATH:map03030 map03420 map03430] [BR:ko03032 ko03400]
M00290_Holo_TFIIH_complex_	M00290  Holo-TFIIH complex [PATH:map03420] [BR:ko03021 ko03400]
M00291_MRN_complex_	M00291  MRN complex [PATH:map03440] [BR:ko03032 ko03400]
M00292_MRX_complex_	M00292  MRX complex [PATH:map03440 map03450] [BR:ko03400]
M00293_DNA_polymerase_zeta_complex_	M00293  DNA polymerase zeta  complex [PATH:map03460] [BR:ko03400]
M00294_DNA_polymerase_gamma_complex_	M00294  DNA polymerase gamma complex [BR:ko03032]
M00295_BRCA1_associated_genome_surveillance_complex_BASC_	M00295  BRCA1-associated genome surveillance complex (BASC) [PATH:map03430 map03440 map03460] [BR:ko03400]
M00296_BER_complex_	M00296  BER complex [PATH:map03410] [BR:ko03400]
M00297_DNA_PK_complex_	M00297  DNA-PK complex [PATH:map03450 map04110] [BR:ko03032 ko03400]
M00298_Multidrug_hemolysin_transport_system_	M00298  Multidrug/hemolysin transport system [PATH:map02010] [BR:ko02000]
M00299_Spermidine_putrescine_transport_system_	M00299  Spermidine/putrescine transport system [PATH:map02010] [BR:ko02000]
M00300_Putrescine_transport_system_	M00300  Putrescine transport system [PATH:map02010] [BR:ko02000]
M00301_Mannopine_transport_system_	M00301  Mannopine transport system [PATH:map02010] [BR:ko02000]
M00302_2_Aminoethylphosphonate_transport_system_	M00302  2-Aminoethylphosphonate transport system [PATH:map02010] [BR:ko02000]
M00303_PTS_system_N_acetylmuramic_acid_specific_II_component_	M00303  PTS system, N-acetylmuramic acid-specific II component [PATH:map02060] [BR:ko02000]
M00304_PTS_system_fructose_specific_II_component_	M00304  PTS system, fructose-specific II component [PATH:map02060] [BR:ko02000]
M00305_PTS_system_2_O_A_mannosyl_D_glycerate_specific_II_component_	M00305  PTS system, 2-O-A-mannosyl-D-glycerate-specific II component [PATH:map02060] [BR:ko02000]
M00306_PTS_system_fructose_specific_II_like_component_	M00306  PTS system, fructose-specific II-like component [BR:ko02000]
M00307_Pyruvate_oxidation_pyruvate_acetyl_CoA_	M00307  Pyruvate oxidation, pyruvate => acetyl-CoA [PATH:map00010 map00020 map00620]
M00308_Semi_phosphorylative_Entner_Doudoroff_pathway_gluconate_glyceraldehyde_3P_pyruvate_	M00308  Semi-phosphorylative Entner-Doudoroff pathway, gluconate => glyceraldehyde-3P + pyruvate [PATH:map00030]
M00309_Non_phosphorylative_Entner_Doudoroff_pathway_gluconate_glyceraldehyde_pyruvate_	M00309  Non-phosphorylative Entner-Doudoroff pathway, gluconate => glyceraldehyde + pyruvate [PATH:map00030]
M00310_Pyruvate_ferredoxin_oxidoreductase_	M00310  Pyruvate:ferredoxin oxidoreductase [PATH:map00620]
M00311_2_oxoglutarate_ferredoxin_oxidoreductase_	M00311  2-oxoglutarate:ferredoxin oxidoreductase [PATH:map00020]
M00312_2_oxoisovalerate_ferredoxin_oxidoreductase_	M00312  2-oxoisovalerate:ferredoxin oxidoreductase [PATH:map00280]
M00313_indolepyruvate_ferredoxin_oxidoreductase	M00313  indolepyruvate:ferredoxin oxidoreductase
M00314_Bacitracin_transport_system_	M00314  Bacitracin transport system [PATH:map02010 map02020] [BR:ko02000]
M00315_Uncharacterized_ABC_transport_system_	M00315  Uncharacterized ABC transport system [PATH:map02020] [BR:ko02000]
M00316_Manganese_transport_system_	M00316  Manganese transport system [PATH:map02010 map02020] [BR:ko02000]
M00317_Manganese_iron_transport_system_	M00317  Manganese/iron transport system [PATH:map02010] [BR:ko02000]
M00318_Iron_zinc_copper_transport_system_	M00318  Iron/zinc/copper transport system [PATH:map02010] [BR:ko02000]
M00319_Manganese_zinc_iron_transport_system_	M00319  Manganese/zinc/iron transport system [PATH:map02010] [BR:ko02000]
M00320_Lipopolysaccharide_export_system_	M00320  Lipopolysaccharide export system [PATH:map02010] [BR:ko02000]
M00321_Bicarbonate_transport_system_	M00321  Bicarbonate transport system [PATH:map02010] [BR:ko02000]
M00322_Neutral_amino_acid_transport_system_	M00322  Neutral amino acid transport system [PATH:map02010] [BR:ko02000]
M00323_Urea_transport_system_	M00323  Urea transport system [PATH:map02010] [BR:ko02000]
M00324_Dipeptide_transport_system_	M00324  Dipeptide transport system [PATH:map02010] [BR:ko02000]
M00325_alpha_Hemolysin_cyclolysin_transport_system_	M00325  alpha-Hemolysin/cyclolysin transport system [PATH:map02010 map03070] [BR:ko02000]
M00326_RTX_toxin_transport_system_	M00326  RTX toxin transport system [BR:ko02044]
M00327_S_Layer_protein_transport_system_	M00327  S-Layer protein transport system [BR:ko02044]
M00328_Hemophore_metalloprotease_transport_system_	M00328  Hemophore/metalloprotease transport system [BR:ko02044]
M00329_Multiple_protein_transport_system_	M00329  Multiple protein transport system [BR:ko02044]
M00330_Adhesin_protein_transport_system_	M00330  Adhesin protein transport system [BR:ko02044]
M00331_Type_II_general_secretion_system_	M00331  Type II general secretion system [PATH:map03070] [BR:ko02044]
M00332_Type_III_secretion_system_	M00332  Type III secretion system [PATH:map03070] [BR:ko02044]
M00333_Type_IV_secretion_system_	M00333  Type IV secretion system [PATH:map03070] [BR:ko02044]
M00334_Type_VI_secretion_system_	M00334  Type VI secretion system [PATH:map03070] [BR:ko02044]
M00335_Sec_secretion_system_	M00335  Sec (secretion) system [PATH:map03070] [BR:ko02044]
M00336_Twin_arginine_translocation_Tat_system_	M00336  Twin-arginine translocation (Tat) system [PATH:map03070] [BR:ko02044]
M00337_Immunoproteasome_	M00337  Immunoproteasome [PATH:map03050] [BR:ko03051]
M00338_Cysteine_biosynthesis_homocysteine_serine_cysteine_	M00338  Cysteine biosynthesis, homocysteine + serine => cysteine [PATH:map00270]
M00339_RaxAB_RaxC_type_I_secretion_system_	M00339  RaxAB-RaxC type I secretion system [PATH:map04626] [BR:ko02044]
M00340_Proteasome_20S_core_particle_	M00340  Proteasome, 20S core particle [PATH:map03050] [BR:ko03051]
M00341_Proteasome_19S_regulatory_particle_PA700_	M00341  Proteasome, 19S regulatory particle (PA700) [PATH:map03050] [BR:ko03051]
M00342_Bacterial_proteasome_	M00342  Bacterial proteasome [PATH:map03050] [BR:ko03051]
M00343_Archaeal_proteasome_	M00343  Archaeal proteasome [PATH:map03050] [BR:ko03051]
M00344_Formaldehyde_assimilation_xylulose_monophosphate_pathway_	M00344  Formaldehyde assimilation, xylulose monophosphate pathway [PATH:map00680]
M00345_Formaldehyde_assimilation_ribulose_monophosphate_pathway_	M00345  Formaldehyde assimilation, ribulose monophosphate  pathway [PATH:map00680]
M00346_Formaldehyde_assimilation_serine_pathway_	M00346  Formaldehyde assimilation, serine pathway [PATH:map00680]
M00347_Methanogenesis_formate_methane_	M00347  Methanogenesis, formate => methane [PATH:map00680]
M00348_Glutathione_transport_system_	M00348  Glutathione transport system [PATH:map02010] [BR:ko02000]
M00349_Microcin_C_transport_system_	M00349  Microcin C transport system [PATH:map02010] [BR:ko02000]
M00350_Capsaicin_biosynthesis_L_Phenylalanine_Capsaicin_	M00350  Capsaicin biosynthesis, L-Phenylalanine => Capsaicin [PATH:map00360]
M00351_Spliceosome_U1_snRNP_	M00351  Spliceosome, U1-snRNP [PATH:map03040] [BR:ko03041]
M00352_Spliceosome_U2_snRNP_	M00352  Spliceosome, U2-snRNP [PATH:map03040] [BR:ko03041]
M00353_Spliceosome_Prp19_CDC5L_complex_	M00353  Spliceosome, Prp19/CDC5L complex [PATH:map03040] [BR:ko03041]
M00354_Spliceosome_U4_U6_U5_tri_snRNP_	M00354  Spliceosome, U4/U6.U5 tri-snRNP [PATH:map03040] [BR:ko03041]
M00355_Spliceosome_35S_U5_snRNP_	M00355  Spliceosome, 35S U5-snRNP [PATH:map03040] [BR:ko03041]
M00356_Methanogenesis_methanol_methane_	M00356  Methanogenesis, methanol => methane [PATH:map00680]
M00357_Methanogenesis_acetate_methane_	M00357  Methanogenesis, acetate => methane [PATH:map00680]
M00358_Coenzyme_M_biosynthesis_	M00358  Coenzyme M biosynthesis [PATH:map00680]
M00359_Aminoacyl_tRNA_biosynthesis_eukaryotes_	M00359  Aminoacyl-tRNA biosynthesis, eukaryotes [PATH:map00970]
M00360_Aminoacyl_tRNA_biosynthesis_prokaryotes_	M00360  Aminoacyl-tRNA biosynthesis, prokaryotes [PATH:map00970]
M00361_Nucleotide_sugar_biosynthesis_eukaryotes_	M00361  Nucleotide sugar biosynthesis, eukaryotes [PATH:map00520]
M00362_Nucleotide_sugar_biosynthesis_prokaryotes_	M00362  Nucleotide sugar biosynthesis, prokaryotes [PATH:map00520]
M00363_EHEC_pathogenicity_signature_Shiga_toxin_	M00363  EHEC pathogenicity signature, Shiga toxin [PATH:map05130 map05131]
M00364_C10_C20_isoprenoid_biosynthesis_bacteria_	M00364  C10-C20 isoprenoid biosynthesis, bacteria [PATH:map00900]
M00365_C10_C20_isoprenoid_biosynthesis_archaea_	M00365  C10-C20 isoprenoid biosynthesis, archaea [PATH:map00900]
M00366_C10_C20_isoprenoid_biosynthesis_plants_	M00366  C10-C20 isoprenoid biosynthesis, plants [PATH:map00900]
M00367_C10_C20_isoprenoid_biosynthesis_non_plant_eukaryotes_	M00367  C10-C20 isoprenoid biosynthesis, non-plant eukaryotes [PATH:map00900]
M00368_Ethylene_biosynthesis_methionine_ethylene_	M00368  Ethylene biosynthesis, methionine => ethylene [PATH:map00270]
M00369_Cyanogenic_glycoside_biosynthesis_tyrosine_dhurrin_	M00369  Cyanogenic glycoside biosynthesis, tyrosine => dhurrin [PATH:map00460]
M00370_Glucosinolate_biosynthesis_tryptophan_glucobrassicin_	M00370  Glucosinolate biosynthesis, tryptophan => glucobrassicin [PATH:map00966]
M00371_Castasterone_biosynthesis_campesterol_castasterone_	M00371  Castasterone biosynthesis, campesterol => castasterone [PATH:map00905]
M00372_Abscisic_acid_biosynthesis_beta_carotene_abscisic_acid_	M00372  Abscisic acid biosynthesis, beta-carotene => abscisic acid [PATH:map00906]
M00373_Ethylmalonyl_pathway_	M00373  Ethylmalonyl pathway [PATH:map00630]
M00374_Dicarboxylate_hydroxybutyrate_cycle_	M00374  Dicarboxylate-hydroxybutyrate cycle [PATH:map00720]
M00375_Hydroxypropionate_hydroxybutylate_cycle_	M00375  Hydroxypropionate-hydroxybutylate cycle [PATH:map00720]
M00376_3_Hydroxypropionate_bicycle_	M00376  3-Hydroxypropionate bicycle [PATH:map00720]
M00377_Reductive_acetyl_CoA_pathway_Wood_Ljungdahl_pathway_	M00377  Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway) [PATH:map00720]
M00378_F420_biosynthesis_	M00378  F420 biosynthesis [PATH:map00680]
M00379_SCF_MET30_complex_	M00379  SCF-MET30 complex [PATH:map04120 map04111] [BR:ko04121]
M00380_SCF_BTRC_complex_	M00380  SCF-BTRC complex [PATH:map04120 map04114 map04310 map04710] [BR:ko04121]
M00381_SCF_SKP2_complex_	M00381  SCF-SKP2 complex [PATH:map04120 map04110 map05168] [BR:ko04121]
M00382_SCF_FBS_complex_	M00382  SCF-FBS complex [PATH:map04120 map04141] [BR:ko04121]
M00383_ECV_complex_	M00383  ECV complex [PATH:map04120 map05211] [BR:ko04121]
M00384_Cul3_SPOP_complex_	M00384  Cul3-SPOP complex [PATH:map04120] [BR:ko04121]
M00385_Cul4_DDB1_DDB2_complex_	M00385  Cul4-DDB1-DDB2 complex [PATH:map04120 map03420] [BR:ko04121 ko03400]
M00386_Cul4_DDB1_CSA_complex_	M00386  Cul4-DDB1-CSA complex [PATH:map04120 map03420] [BR:ko04121 ko03400]
M00387_SCF_FBW7_complex_	M00387  SCF-FBW7 complex [PATH:map04120] [BR:ko04121]
M00388_ECS_complex_	M00388  ECS complex [PATH:map04120] [BR:ko04121]
M00389_APC_C_complex_	M00389  APC/C complex [PATH:map04120 map04110 map04114 map04914 map04111 map04113] [BR:ko04121 ko03036]
M00390_Exosome_archaea_	M00390  Exosome, archaea [PATH:map03018]
M00391_Exosome_eukaryotes_	M00391  Exosome, eukaryotes [PATH:map03018]
M00392_Ski_complex_	M00392  Ski complex [PATH:map03018]
M00393_TRAMP_complex_	M00393  TRAMP complex [PATH:map03018]
M00394_RNA_degradosome_	M00394  RNA degradosome [PATH:map03018]
M00395_Decapping_complex_	M00395  Decapping complex [PATH:map03018]
M00396_Lsm_2_8_complex_	M00396  Lsm 2-8 complex [PATH:map03040 map03018] [BR:ko03041]
M00397_Lsm_1_7_complex_	M00397  Lsm 1-7 complex [PATH:map03018]
M00398_Sm_core_complex_	M00398  Sm core complex [PATH:map03040] [BR:ko03032 ko03041]
M00399_Cap_binding_complex_	M00399  Cap binding complex [PATH:map03013 map03015 map03040 map03040] [BR:ko03041]
M00400_p97_Ufd1_Npl4_complex_	M00400  p97-Ufd1-Npl4 complex [PATH:map04141]
M00401_Sec61_complex_	M00401  Sec61 complex [PATH:map03060 map04141 map04145 map05110] [BR:ko02044]
M00402_Translocon_associated_protein_TRAP_complex_	M00402  Translocon-associated protein (TRAP) complex [PATH:map04141]
M00403_HRD1_SEL1_ERAD_complex_	M00403  HRD1/SEL1 ERAD complex [PATH:map04141]
M00404_COPII_complex_	M00404  COPII complex [PATH:map04141]
M00405_THC_complex_	M00405  THC complex [PATH:map03040 map03013] [BR:ko03041]
M00406_TREX_complex_	M00406  TREX complex [PATH:map03013 map03040] [BR:ko03041]
M00407_SCF_CDC4_complex_	M00407  SCF-CDC4 complex [PATH:map04120 map04111] [BR:ko04121]
M00408_ESCRT_0_complex_	M00408  ESCRT-0 complex [PATH:map04144]
M00409_ESCRT_I_complex_	M00409  ESCRT-I complex [PATH:map04144]
M00410_ESCRT_II_complex_	M00410  ESCRT-II complex [PATH:map04144]
M00411_SCF_GRR1_complex_	M00411  SCF-GRR1 complex [PATH:map04120 map04111] [BR:ko04121]
M00412_ESCRT_III_complex_	M00412  ESCRT-III complex [PATH:map04144]
M00413_FA_core_complex_	M00413  FA core complex [PATH:map03460] [BR:ko03400]
M00414_Blooms_syndrome_complex_	M00414  Blooms syndrome complex [PATH:map03460] [BR:ko03400]
M00415_Fatty_acid_biosynthesis_elongation_endoplasmic_reticulum_	M00415  Fatty acid biosynthesis, elongation, endoplasmic reticulum [PATH:map00062]
M00416_Cytochrome_aa3_600_menaquinol_oxidase_	M00416  Cytochrome aa3-600 menaquinol oxidase [PATH:map00190]
M00417_Cytochrome_o_ubiquinol_oxidase_	M00417  Cytochrome o ubiquinol oxidase [PATH:map00190]
M00418_Toluene_degradation_anaerobic_toluene_benzoyl_CoA_	M00418  Toluene degradation, anaerobic, toluene => benzoyl-CoA [PATH:map00623]
M00419_Cymene_degradation_p_cymene_p_cumate_	M00419  Cymene degradation, p-cymene => p-cumate [PATH:map00622]
M00423_Molybdate_tungstate_transport_system_	M00423  Molybdate/tungstate transport system [PATH:map02010] [BR:ko02000]
M00424_Shelterin_complex_	M00424  Shelterin complex [BR:ko03032]
M00425_H_ACA_ribonucleoprotein_complex_	M00425  H/ACA ribonucleoprotein complex [PATH:map03008] [BR:ko03032 ko03009]
M00426_Survival_motor_neuron_SMN_complex_	M00426  Survival motor neuron (SMN) complex [PATH:map03013] [BR:ko03041]
M00427_Nuclear_pore_complex_	M00427  Nuclear pore complex [PATH:map03013]
M00428_eIF4F_complex_	M00428  eIF4F complex [PATH:map03013] [BR:ko03012]
M00429_Competence_related_DNA_transformation_transporter_	M00429  Competence-related DNA transformation transporter [BR:ko02044]
M00430_Exon_junction_complex_EJC_	M00430  Exon junction complex (EJC) [PATH:map03013 map03015 map03040] [BR:ko03041]
M00432_Leucine_biosynthesis_2_oxoisovalerate_2_oxoisocaproate_	M00432  Leucine biosynthesis, 2-oxoisovalerate => 2-oxoisocaproate [PATH:map00290]
M00433_Lysine_biosynthesis_2_oxoglutarate_2_oxoadipate_	M00433  Lysine biosynthesis, 2-oxoglutarate => 2-oxoadipate [PATH:map00300]
M00434_PhoR_PhoB_phosphate_starvation_response_two_component_regulatory_system_	M00434  PhoR-PhoB (phosphate starvation response) two-component regulatory system [PATH:map02020] [BR:ko02022]
M00435_Taurine_transport_system_	M00435  Taurine transport system [PATH:map02010] [BR:ko02000]
M00436_Sulfonate_transport_system_	M00436  Sulfonate transport system [PATH:map02010] [BR:ko02000]
M00437_Phthalate_transport_system_	M00437  Phthalate transport system [PATH:map02010] [BR:ko02000]
M00438_Nitrate_nitrite_transport_system_	M00438  Nitrate/nitrite transport system [PATH:map02010] [BR:ko02000]
M00439_Oligopeptide_transport_system_	M00439  Oligopeptide transport system [PATH:map02010] [BR:ko02000]
M00440_Nickel_transport_system_	M00440  Nickel transport system [PATH:map02010] [BR:ko02000]
M00442_Putative_hydroxymethylpyrimidine_transport_system_	M00442  Putative hydroxymethylpyrimidine transport system [PATH:map02010] [BR:ko02000]
M00443_SenX3_RegX3_phosphate_starvation_response_two_component_regulatory_system_	M00443  SenX3-RegX3 (phosphate starvation response) two-component regulatory system [PATH:map02020] [BR:ko02022]
M00444_PhoQ_PhoP_magnesium_transport_two_component_regulatory_system_	M00444  PhoQ-PhoP (magnesium transport) two-component regulatory system [PATH:map02020] [BR:ko02022]
M00445_EnvZ_OmpR_osmotic_stress_response_two_component_regulatory_system_	M00445  EnvZ-OmpR (osmotic stress response) two-component regulatory system [PATH:map02020] [BR:ko02022]
M00446_RstB_RstA_two_component_regulatory_system_	M00446  RstB-RstA two-component regulatory system [PATH:map02020] [BR:ko02022]
M00447_CpxA_CpxR_envelope_stress_response_two_component_regulatory_system_	M00447  CpxA-CpxR (envelope stress response) two-component regulatory system [PATH:map02020] [BR:ko02022]
M00448_CssS_CssR_secretion_stress_response_two_component_regulatory_system_	M00448  CssS-CssR (secretion stress response) two-component regulatory system [PATH:map02020] [BR:ko02022]
M00449_CreC_CreB_phosphate_regulation_two_component_regulatory_system_	M00449  CreC-CreB (phosphate regulation) two-component regulatory system [PATH:map02020] [BR:ko02022]
M00450_BaeS_BaeR_envelope_stress_response_two_component_regulatory_system_	M00450  BaeS-BaeR (envelope stress response) two-component regulatory system [PATH:map02020] [BR:ko02022]
M00451_BasS_BasR_antimicrobial_peptide_resistance_two_component_regulatory_system_	M00451  BasS-BasR (antimicrobial peptide resistance) two-component regulatory system [PATH:map02020] [BR:ko02022]
M00452_CusS_CusR_copper_tolerance_two_component_regulatory_system_	M00452  CusS-CusR (copper tolerance) two-component regulatory system [PATH:map02020] [BR:ko02022]
M00453_QseC_QseB_quorum_sensing_two_component_regulatory_system_	M00453  QseC-QseB (quorum sensing) two-component regulatory system [PATH:map02020] [BR:ko02022]
M00454_KdpD_KdpE_potassium_transport_two_component_regulatory_system_	M00454  KdpD-KdpE (potassium transport) two-component regulatory system [PATH:map02020] [BR:ko02022]
M00455_TorS_TorR_trimethylamine_N_oxide_respiration_two_component_regulatory_system_	M00455  TorS-TorR (trimethylamine N-oxide respiration) two-component regulatory system [PATH:map02020] [BR:ko02022]
M00456_ArcB_ArcA_anoxic_redox_control_two_component_regulatory_system_	M00456  ArcB-ArcA (anoxic redox control) two-component regulatory system [PATH:map02020] [BR:ko02022]
M00457_TctE_TctD_tricarboxylic_acid_transport_two_component_regulatory_system_	M00457  TctE-TctD (tricarboxylic acid transport) two-component regulatory system [PATH:map02020] [BR:ko02022]
M00458_ResE_ResD_aerobic_and_anaerobic_respiration_two_component_regulatory_system_	M00458  ResE-ResD (aerobic and anaerobic respiration) two-component regulatory system [PATH:map02020] [BR:ko02022]
M00459_VicK_VicR_cell_wall_metabolism_two_component_regulatory_system_	M00459  VicK-VicR (cell wall metabolism) two-component regulatory system [PATH:map02020] [BR:ko02022]
M00460_MprB_MprA_maintenance_of_persistent_infection_two_component_regulatory_system_	M00460  MprB-MprA (maintenance of persistent infection) two-component regulatory system [PATH:map02020] [BR:ko02022]
M00461_MtrB_MtrA_osmotic_stress_response_two_component_regulatory_system_	M00461  MtrB-MtrA (osmotic stress response) two-component regulatory system [PATH:map02020] [BR:ko02022]
M00462_PrrB_PrrA_intracellular_multiplication_two_component_regulatory_system_	M00462  PrrB-PrrA (intracellular multiplication) two-component regulatory system [PATH:map02020] [BR:ko02022]
M00463_TrcS_TrcR_two_component_regulatory_system_	M00463  TrcS-TrcR two-component regulatory system [PATH:map02020] [BR:ko02022]
M00464_NrsS_NrsR_nickel_tolerance_two_component_regulatory_system_	M00464  NrsS-NrsR (nickel tolerance) two-component regulatory system [PATH:map02020] [BR:ko02022]
