Pathway	feces1	feces2	feces3	feces4	feces5	feces6	plaque1	plaque2	plaque3	plaque4	plaque5	plaque6	saliva1	saliva2	saliva3	saliva4	saliva5	saliva6
Enzymes with EC numbers	51450.870000000024	25084.409999999996	59365.50999999998	31240.49999999998	39715.86999999998	12993.349999999991	84030.06000000007	23856.100000000002	44803.42000000002	25017.259999999995	59443.62000000002	17427.600000000002	41573.51000000004	53192.20999999998	54038.620000000046	70120.59999999998	52323.06000000006	60105.92000000006
Epithelial cell signaling in Helicobacter pylori infection [PATH:ko05120]	1817.27	1106.0	2787.4300000000003	1386.6	1498.34	499.35	4353.110000000001	1123.34	1966.02	1281.8200000000004	2943.53	793.18	1963.34	1953.9000000000008	2197.2	2962.52	2009.3999999999994	2532.87
Epstein-Barr virus infection [PATH:ko05169]	0.0	0.0	0.0	8.0	1.0	0.0	37.5	2.0	40.0	6.0	34.0	1.0	65.5	1.0	12.5	30.0	39.0	15.5
Estrogen signaling pathway [PATH:ko04915]	908.76	528.0899999999998	1368.08	643.3000000000002	689.7900000000002	240.3	1703.61	305.49	887.58	468.91	1241.2400000000002	308.83	789.5800000000003	461.08	598.8299999999998	713.8299999999998	307.75	750.8299999999998
Ether lipid metabolism [PATH:ko00565]	2.62	0.75	0.0	30.0	2.5	0.0	304.25	11.0	101.25	20.0	149.5	30.12	223.1	119.6	194.2	194.7	88.4	81.1
Ethylbenzene degradation [PATH:ko00642]	0.0	0.0	0.0	0.0	0.0	0.0	10.5	0.0	3.5	0.0	6.0	0.0	14.0	0.0	3.5	3.0	21.0	6.5
Exosome [BR:ko04147]	31982.44999999999	17125.579999999994	41910.43999999999	20938.499999999993	26687.359999999997	7818.850000000003	68623.4	17767.36	33258.939999999995	18910.79	47189.99000000001	14003.41	32620.719999999987	39083.5	40357.59000000001	51437.33	38628.99000000001	47162.76999999998
Fat digestion and absorption [PATH:ko04975]	483.0	238.83	916.67	290.0	300.0	107.5	1138.1400000000006	277.91	588.4100000000002	196.07	704.9899999999999	218.57	491.82	327.92	356.65	452.92	614.01	624.4000000000002
Fatty acid biosynthesis [PATH:ko00061]	14596.520000000002	8104.989999999999	18190.519999999997	8535.500000000002	9821.880000000001	3258.9	29254.82	8247.77	13629.330000000004	8724.38	18707.41	5529.42	14682.19	18458.960000000003	18909.300000000003	24440.059999999998	18218.77	19332.9
Fatty acid degradation [PATH:ko00071]	3013.9700000000003	1878.9299999999998	4008.77	2223.9	3196.72	676.15	6950.02	1676.4899999999998	3875.12	1842.47	4832.25	1457.3000000000002	3662.209999999999	4127.35	4161.769999999999	5197.68	3946.4500000000003	4481.740000000001
Ferroptosis [PATH:ko04216]	1815.58	795.4100000000001	1804.53	888.1999999999999	1508.55	170.0	4595.95	863.02	2523.17	1336.65	3344.2000000000007	945.97	2342.6399999999994	2582.07	2730.7399999999993	3173.0300000000007	1742.7200000000003	2955.22
Flagellar assembly [PATH:ko02040]	9780.369999999999	2811.48	18708.09	5285.6	4505.17	4627.150000000001	35848.62	3054.91	14876.06	4486.73	20581.47	4916.389999999999	12472.83	3425.4100000000003	4898.43	5033.849999999999	4443.620000000001	6530.41
Flavone and flavonol biosynthesis [PATH:ko00944]	89.28	7.5	0.0	26.5	34.84	18.3	0.0	0.5	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Flavonoid biosynthesis [PATH:ko00941]	0.0	0.0	0.0	0.0	0.0	0.0	100.91	12.91	92.08	55.41	31.24	5.16	67.08	39.33	67.83	147.82999999999996	64.5	159.07999999999996
Fluid shear stress and atherosclerosis [PATH:ko05418]	3753.42	2144.6099999999997	4891.14	2658.9000000000005	2970.8399999999997	994.7	5720.03	1323.25	2433.3399999999997	1386.4199999999998	3881.9800000000014	1191.1899999999998	2785.14	2792.03	2999.5600000000004	3895.259999999999	3137.1100000000006	3871.19
Fluorobenzoate degradation [PATH:ko00364]	0.0	0.0	0.0	0.0	0.0	0.0	128.0	6.0	34.5	3.0	59.5	10.5	10.0	0.0	4.0	0.0	32.0	4.0
Focal adhesion [PATH:ko04510]	0.0	0.0	0.0	0.0	0.0	0.0	19.0	0.0	0.0	0.0	0.0	2.0	5.0	10.0	4.0	6.0	3.0	2.0
Folate biosynthesis [PATH:ko00790]	8737.18	5108.420000000001	12747.199999999999	5302.4000000000015	6829.990000000001	1897.9999999999998	24055.75000000001	5292.76	10996.580000000002	6129.87	16796.31	4441.869999999999	11418.66	16457.15	15916.54	21724.99	15004.98	17164.589999999997
FoxO signaling pathway [PATH:ko04068]	668.26	87.96000000000001	474.38	247.0	270.87	58.0	1437.2600000000002	507.75	556.1	460.59	919.42	310.91999999999996	819.6600000000002	1891.2999999999993	1440.1099999999994	2159.51	1475.32	1266.86
Fructose and mannose metabolism [PATH:ko00051]	14228.270000000002	7701.130000000002	19569.45	8423.800000000001	11965.710000000001	3930.7500000000014	30139.489999999998	9009.31	12385.910000000003	9800.8	19607.33	5927.47	13321.300000000001	19915.8	19938.209999999995	24124.420000000002	20380.399999999998	21391.479999999996
Function unknown	43037.579999999994	24990.930000000008	57678.61999999998	29428.59999999999	33950.42999999999	11570.39999999999	84332.8300000001	22789.27	42318.520000000004	23662.310000000016	55720.090000000004	16468.310000000016	40482.64999999992	47297.71999999998	49026.51999999999	65780.00999999994	49799.21000000011	54461.86999999999
Furfural degradation [PATH:ko00365]	0.0	0.0	0.0	8.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	1.0	0.0	0.0	0.0
G protein-coupled receptors [BR:ko04030]	0.0	0.0	0.0	0.0	0.0	0.0	89.0	4.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GABAergic synapse [PATH:ko04727]	2915.19	1449.6400000000008	2917.76	1579.6	2384.0	552.85	2899.1400000000003	723.5799999999999	1185.93	693.74	1566.8700000000001	614.4599999999998	1328.0599999999997	1738.8599999999992	1780.56	2236.63	1690.4100000000003	2311.65
Galactose metabolism [PATH:ko00052]	17219.11	8622.94	20603.03	9681.2	15030.710000000001	4905.450000000002	22816.539999999997	9160.719999999998	9895.339999999997	8758.28	14294.509999999998	5120.95	11608.229999999998	19989.989999999998	19027.24	24728.51	20311.19000000001	19621.420000000002
General function prediction only	9963.340000000002	4689.78	11547.239999999998	5475.6	8033.860000000001	2283.7	22714.01	6979.07	10900.66	7055.52	15178.36	4875.909999999998	12310.790000000003	20080.15	19489.980000000003	24197.420000000006	18938.9	18432.02
Geraniol degradation [PATH:ko00281]	0.0	0.0	0.0	0.0	0.0	0.0	154.0	24.0	75.0	43.0	84.5	24.5	36.0	0.0	19.0	10.0	68.0	50.0
Global maps only	588.87	469.0	1013.92	647.0	646.0	250.05	971.67	160.92	544.75	177.0	782.25	268.4	605.7	370.62	483.98	438.57	319.88	388.44
Glucagon signaling pathway [PATH:ko04922]	5517.72	3628.8599999999997	8206.220000000001	3981.4000000000005	5355.71	1820.3999999999999	10845.269999999999	3485.83	4740.6	3027.6600000000003	6437.93	2158.42	4978.69	8218.369999999999	7467.750000000003	9795.009999999998	8239.71	8081.51
Glucosinolate biosynthesis [PATH:ko00966]	1804.02	1091.82	2543.0	1279.6000000000004	1536.42	492.1	3543.44	669.99	1537.46	689.0899999999999	2359.11	709.13	1558.0600000000002	2208.4699999999993	2173.5199999999995	2985.620000000001	2387.1700000000005	2662.2299999999996
Glutamatergic synapse [PATH:ko04724]	2637.1800000000003	1418.0000000000007	2916.3	1494.6	2206.71	550.6	2933.15	658.25	1165.27	672.74	1550.89	609.7999999999998	1301.3999999999996	1736.5299999999993	1774.9	2213.9700000000003	1686.0800000000002	2256.9900000000002
Glutathione metabolism [PATH:ko00480]	3329.17	1696.8899999999999	4208.94	1930.5	2780.56	843.95	9043.29	2660.5299999999997	4182.79	2798.65	5379.57	1790.88	4673.44	8066.12	7822.960000000001	9974.859999999999	7483.18	7689.73
Glycan metabolism	1716.26	764.59	2209.92	682.3	978.46	410.6	2337.86	401.75	1128.0	551.5	1535.75	465.2500000000001	1028.18	1044.95	932.11	1351.98	832.93	1280.32
Glycerolipid metabolism [PATH:ko00561]	5391.700000000001	4050.3600000000006	8786.770000000002	4631.400000000001	5353.62	2248.9	11078.33	4408.35	5336.819999999998	3589.010000000001	7137.540000000001	2486.4099999999994	5844.210000000001	7310.13	7570.34	9471.99	9053.11	8327.660000000002
Glycerophospholipid metabolism [PATH:ko00564]	8582.630000000001	5563.799999999998	13698.55	6500.000000000002	7548.3099999999995	3050.6500000000005	20868.0	5738.739999999999	10881.02	6304.2	14126.24	4239.119999999999	10709.740000000002	13311.17	13484.700000000003	17998.82	13031.940000000002	14432.3
Glycine	19568.399999999998	11269.779999999999	28222.109999999993	13599.499999999996	16796.160000000003	5867.300000000002	41281.350000000006	10807.66	20380.089999999997	10956.15	28997.77000000001	8583.999999999998	19452.83	23975.469999999994	24974.929999999997	31465.439999999988	24334.399999999994	28626.09999999999
Glycolysis / Gluconeogenesis [PATH:ko00010]	24840.379999999994	13775.499999999998	32905.889999999985	16234.2	20096.779999999995	6906.500000000003	53201.70000000002	16329.42	26127.780000000002	16424.09	36262.62	11070.080000000004	24972.810000000005	34056.56999999997	34293.22	42906.37999999998	34021.930000000015	38164.06999999999
Glycosaminoglycan binding proteins [BR:ko00536]	260.76	56.39	10.71	1.0	161.46000000000004	4.0	719.55	143.63	576.6499999999999	484.3	417.7000000000001	107.3	285.4	630.65	618.9	1283.65	764.5	1563.9
Glycosaminoglycan degradation [PATH:ko00531]	3676.67	555.51	1126.48	744.0	2118.1800000000003	209.55	2380.2599999999998	484.12	1029.99	954.6700000000002	1443.33	473.06	1061.28	3092.3799999999997	2749.09	3730.84	2160.0099999999998	2477.7199999999993
Glycosphingolipid biosynthesis - ganglio series [PATH:ko00604]	2193.14	248.23	500.97	498.0	1375.94	13.0	1381.85	308.14	625.49	516.6700000000002	860.3299999999998	325.19	645.84	2436.7699999999995	2079.54	2733.65	1460.26	1644.3699999999994
Glycosphingolipid biosynthesis - globo and isoglobo series [PATH:ko00603]	3140.18	1015.46	1884.26	1173.3000000000002	2571.0299999999997	312.4	2230.55	468.04999999999995	1095.49	761.1700000000002	1520.08	604.94	1017.84	2791.2699999999995	2544.37	3145.15	1814.51	2240.3699999999994
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis [PATH:ko00563]	0.0	0.0	0.0	0.0	0.0	0.0	62.0	2.0	12.0	6.0	32.0	12.0	34.0	0.0	1.0	0.0	0.0	4.0
Glycosylphosphatidylinositol (GPI)-anchored proteins [BR:ko00537]	1140.55	491.03	793.17	619.5	871.09	124.55	895.5	210.15999999999997	667.75	350.5	873.0	214.92000000000002	432.25	457.0	536.0	679.5	395.0	736.75
Glycosyltransferases [BR:ko01003]	5509.570000000001	2112.0499999999997	6423.640000000001	3491.6000000000004	3923.1600000000008	1191.85	17691.839999999997	4903.68	8185.569999999999	4972.000000000001	11469.590000000004	3171.1899999999987	7758.590000000001	10402.25	10529.770000000002	14878.67	11685.739999999996	12395.509999999995
Glyoxylate and dicarboxylate metabolism [PATH:ko00630]	15706.230000000003	8386.54	19838.759999999995	10446.599999999999	12696.11	3988.250000000001	31224.610000000008	6213.510000000001	13617.210000000001	6658.580000000002	20718.64	5743.239999999999	12922.800000000001	13984.520000000002	15119.370000000004	19325.309999999998	13888.25	17515.700000000004
HIF-1 signaling pathway [PATH:ko04066]	5699.700000000001	3657.1199999999994	8503.17	4106.700000000001	5037.63	1869.7	13049.43	3730.6	5736.25	3357.2400000000002	8384.699999999999	2562.8700000000003	6006.8099999999995	8776.22	8333.170000000002	10708.26	8937.48	9338.029999999997
Hepatitis B [PATH:ko05161]	0.0	0.0	0.0	8.0	1.0	0.0	37.5	2.0	40.0	6.0	34.0	1.0	65.5	1.0	12.5	30.0	39.0	15.5
Hepatitis C [PATH:ko05160]	0.0	0.0	0.0	8.0	1.0	0.0	37.5	2.0	40.0	6.0	34.0	1.0	65.5	1.0	12.5	30.0	39.0	15.5
Hepatocellular carcinoma [PATH:ko05225]	0.0	0.5700000000000001	0.17	0.0	1.17	0.0	167.48000000000002	23.5	14.28	39.01	17.43	18.65	171.74	308.54	277.0	293.19	307.47	213.05999999999997
Herpes simplex virus 1 infection [PATH:ko05168]	0.0	0.0	0.0	8.0	1.0	0.0	37.5	2.0	40.0	6.0	34.0	1.0	65.5	3.0	15.5	30.0	39.0	15.5
Histidine metabolism [PATH:ko00340]	10334.41	6120.0199999999995	13155.829999999998	7657.9000000000015	9193.909999999998	2806.85	15580.619999999999	2388.7000000000007	7007.789999999999	2513.3900000000003	10404.81	3049.74	6644.3099999999995	4566.06	5712.86	7663.0599999999995	5915.929999999999	7584.5
Homologous recombination [PATH:ko03440]	19562.909999999996	11864.569999999998	28648.019999999997	14048.8	17134.62	5395.050000000001	45805.88000000001	12797.29	22300.08	13380.83	31633.130000000005	9319.320000000002	22440.52	27917.739999999994	28355.729999999992	37447.609999999986	28274.079999999998	32823.00999999999
Human cytomegalovirus infection [PATH:ko05163]	0.0	0.0	0.0	8.0	1.0	0.0	37.5	2.0	40.0	6.0	34.0	1.0	65.5	1.0	12.5	30.0	39.0	15.5
Human immunodeficiency virus 1 infection [PATH:ko05170]	0.0	0.0	0.0	8.0	1.0	0.0	37.5	2.0	40.0	6.0	34.0	1.0	65.5	1.0	12.5	30.0	39.0	15.5
Human papillomavirus infection [PATH:ko05165]	912.01	575.91	1379.0	676.8000000000002	803.71	272.05	2173.9300000000007	637.3299999999998	875.76	590.66	1251.16	415.79000000000013	962.7999999999997	1427.7	1422.7300000000007	1821.8099999999995	1447.6	1621.6699999999994
Huntington disease [PATH:ko05016]	681.26	322.9	1027.5	268.6	302.92	151.3	3080.79	931.09	1323.46	1131.2600000000002	1891.5700000000002	575.7600000000001	1785.17	2850.099999999999	2998.3899999999985	3653.7099999999996	2522.53	2741.939999999999
Hypertrophic cardiomyopathy [PATH:ko05410]	0.0	0.0	0.0	0.0	0.0	0.0	19.0	0.0	0.0	0.0	0.0	2.0	5.0	10.0	4.0	6.0	3.0	2.0
IL-17 signaling pathway [PATH:ko04657]	908.76	528.0899999999998	1368.08	643.3000000000002	689.7900000000002	240.3	1703.61	305.49	887.58	468.91	1241.2400000000002	308.83	789.5800000000003	461.08	598.8299999999998	713.8299999999998	307.75	750.8299999999998
Influenza A [PATH:ko05164]	0.0	0.0	0.0	8.0	1.0	0.0	37.5	2.0	40.0	6.0	34.0	1.0	65.5	1.0	12.5	30.0	39.0	15.5
Inositol phosphate metabolism [PATH:ko00562]	1606.81	792.9600000000003	1928.5400000000004	971.9000000000001	1432.51	424.85	3357.42	1095.17	1451.39	1154.0	2204.07	775.99	1605.1299999999992	2455.059999999999	2590.2299999999996	3251.2200000000003	2546.71	2586.24
Insect hormone biosynthesis [PATH:ko00981]	170.0	278.0	369.0	349.0	316.0	112.1	272.83	101.34	145.82999999999996	40.84	172.49	51.83	181.83	10.5	32.66	17.66	40.5	67.33
Insulin resistance [PATH:ko04931]	2445.29	1605.56	3801.8400000000006	1660.9	2044.88	682.1500000000001	4668.5599999999995	1337.9999999999995	2137.15	1340.4100000000003	3018.750000000001	1038.6599999999999	2011.9500000000003	2514.1799999999994	2587.9000000000005	3280.7200000000003	2698.6600000000008	3157.58
Insulin signaling pathway [PATH:ko04910]	1837.15	1027.26	2394.76	920.8000000000002	1433.87	423.15000000000003	3721.5699999999997	843.9899999999999	1485.54	845.0900000000003	2169.1800000000003	657.8999999999999	1478.8200000000002	1590.0200000000002	1658.7900000000004	2144.4400000000005	1633.98	1829.0800000000006
Ion channels [BR:ko04040]	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.5	1.5	0.0	0.0	0.0	5.0	5.0	3.0	0.5	3.0	2.0
Isoquinoline alkaloid biosynthesis [PATH:ko00950]	1012.77	345.76000000000005	1486.2399999999998	576.6	802.75	220.55	3036.3799999999997	506.74	1261.6700000000003	660.6500000000001	1799.2200000000003	522.73	1231.9600000000005	773.29	1230.1599999999999	1618.21	1021.39	1753.9400000000003
Kaposi sarcoma-associated herpesvirus infection [PATH:ko05167]	0.0	0.0	0.0	8.0	1.0	0.0	37.5	2.0	40.0	6.0	34.0	1.0	65.5	1.0	12.5	30.0	39.0	15.5
Legionellosis [PATH:ko05134]	2666.0299999999997	1397.3199999999997	4475.499999999999	1961.9000000000003	2251.71	976.6500000000001	7791.19	1628.17	3433.38	1809.41	5104.8	1422.53	3532.189999999999	3656.6099999999988	3878.08	4771.040000000001	3561.9500000000007	4253.98
Limonene and pinene degradation [PATH:ko00903]	170.0	278.0	369.0	349.0	316.0	112.1	277.83	105.34	147.82999999999996	40.84	172.49	63.83	187.33	10.5	35.66	19.66	63.5	73.33
Linoleic acid metabolism [PATH:ko00591]	2.62	0.25	0.0	0.0	2.5	0.0	190.25	11.0	30.25	9.0	91.5	16.12	150.1	118.6	189.2	194.7	85.4	78.1
Lipid biosynthesis proteins [BR:ko01004]	12714.75	7138.159999999999	16667.84	8239.0	9533.029999999999	3235.15	28580.010000000002	7356.77	13471.950000000004	7879.32	18484.14	5388.5199999999995	13607.189999999999	17147.850000000006	17553.0	22761.190000000006	16971.56	18321.329999999998
Lipoarabinomannan (LAM) biosynthesis [PATH:ko00571]	0.0	0.0	0.0	0.0	0.0	0.0	105.34	36.67	20.0	1.0	0.0	124.66	57.0	218.34	130.66	100.34	159.66	168.64999999999998
Lipoic acid metabolism [PATH:ko00785]	1100.3899999999999	205.85	768.34	391.5	510.8300000000001	82.75	2390.5600000000004	714.1000000000001	1124.09	479.68	1714.6500000000003	527.1500000000001	1250.9000000000005	2286.07	2009.6000000000001	2369.9900000000002	1667.8399999999997	1665.6700000000003
Lipopolysaccharide biosynthesis [PATH:ko00540]	4714.440000000001	1559.6899999999996	6337.759999999999	3433.600000000001	3251.2299999999996	321.8	25082.72	4547.7699999999995	11705.700000000003	6229.799999999997	17487.889999999996	3615.91	9583.330000000007	10327.050000000003	12507.689999999999	18492.690000000002	10482.479999999998	16572.000000000004
Lipopolysaccharide biosynthesis proteins [BR:ko01005]	6436.9400000000005	2522.0	7937.51	4858.9000000000015	4970.35	610.8	29526.85000000001	6110.470000000001	14242.09	7783.53	20806.660000000003	4477.619999999999	11823.400000000005	12243.220000000007	14486.019999999999	21125.68	13100.739999999996	18792.099999999995
Longevity regulating pathway - multiple species [PATH:ko04213]	1207.27	632.3000000000001	1713.21	874.8000000000002	1040.8300000000002	328.85	3917.17	966.42	1786.3400000000001	988.5	2624.4000000000005	785.55	2093.1900000000005	2851.4499999999994	2501.5999999999995	3423.050000000001	2280.7299999999996	2504.2799999999997
Longevity regulating pathway - worm [PATH:ko04212]	3123.04	1829.0	4878.3099999999995	2312.4000000000005	2782.84	954.9000000000001	8481.48	2430.76	4063.6200000000003	2406.08	5766.469999999999	1746.88	4376.2699999999995	6229.519999999997	5869.169999999999	7798.9800000000005	5863.610000000001	6194.699999999998
Longevity regulating pathway [PATH:ko04211]	347.76	59.96	330.38	195.0	250.54000000000002	54.0	1213.5900000000001	495.75	504.1	453.59	827.42	271.59	767.6600000000002	1786.1299999999992	1372.7799999999995	2105.34	1385.49	1168.87
Lysine biosynthesis [PATH:ko00300]	12117.02	7981.759999999999	18683.559999999998	9575.600000000002	11309.690000000002	4035.000000000001	24702.460000000003	6101.430000000001	12871.28	6282.879999999999	18244.16	5271.459999999999	11958.48	15725.579999999998	16104.519999999999	20463.010000000002	16624.010000000002	17850.709999999995
Lysine degradation [PATH:ko00310]	2849.7700000000004	1134.25	3120.26	1710.3	1859.2900000000002	629.65	7253.869999999999	2159.2800000000007	5727.92	2121.1900000000005	6912.819999999998	1759.0799999999992	4779.07	4254.9800000000005	4450.82	5575.129999999998	4181.65	4978.2699999999995
Lysosome [PATH:ko04142]	5811.600000000001	605.3	1166.7000000000003	819.5	3632.29	115.39999999999999	3877.4	976.6200000000001	2365.7200000000003	1982.2700000000004	3266.24	984.3699999999999	2002.7600000000002	5346.459999999999	4718.3099999999995	5898.849999999999	3111.8199999999997	3931.4099999999994
MAPK signaling pathway - fly [PATH:ko04013]	323.76	47.96	330.38	132.0	199.21	54.0	1018.09	457.42	458.6	424.59	752.92	239.89	721.0600000000002	1433.5299999999993	1214.0799999999995	1730.14	1236.09	1086.77
MAPK signaling pathway - plant [PATH:ko04016]	780.25	435.36	956.1399999999999	671.5	671.8700000000001	182.25	2838.39	776.9200000000001	1073.7099999999998	626.2499999999999	1719.6600000000003	486.47	1318.16	2065.0799999999995	1839.8600000000004	2715.5100000000007	2221.5500000000006	2001.6699999999998
MAPK signaling pathway - yeast [PATH:ko04011]	24.0	12.0	0.0	63.0	51.33	0.0	195.5	38.33	45.5	29.0	74.5	31.7	46.6	352.6	158.7	375.2	149.4	82.1
Mannose type O-glycan biosynthesis [PATH:ko00515]	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	2.0	1.0	1.0	2.0	4.0	4.0	7.0	22.0
Measles [PATH:ko05162]	0.0	0.0	0.0	8.0	1.0	0.0	37.5	2.0	40.0	6.0	34.0	1.0	65.5	1.0	12.5	30.0	39.0	15.5
Meiosis - yeast [PATH:ko04113]	0.5	0.0	0.0	0.0	0.0	0.0	503.92	26.67	157.75	25.5	204.0	67.08	245.5	115.67	97.33	86.67	96.33	140.99
Membrane trafficking [BR:ko04131]	4090.71	2492.2699999999995	5927.6	3023.2000000000007	4238.75	1266.55	11049.67	3116.25	5227.06	3034.14	7231.619999999999	2077.32	5181.66	6043.8099999999995	6161.590000000001	7855.019999999999	6281.889999999999	7293.739999999999
Messenger RNA biogenesis [BR:ko03019]	15447.320000000002	9129.99	22978.859999999997	11064.7	13202.13	4835.000000000001	33114.86	8829.689999999999	16251.870000000003	9026.77	22740.200000000004	6743.76	16009.630000000001	20750.649999999998	20488.909999999996	27063.59	20559.449999999997	22833.499999999993
Metabolism of xenobiotics by cytochrome P450 [PATH:ko00980]	348.76	31.63	77.05	91.5	350.63	12.5	345.4	135.5	66.6	137.94	142.0	66.71000000000001	296.35	940.85	940.88	1117.35	996.63	594.1700000000001
Methane metabolism [PATH:ko00680]	15489.240000000002	8851.73	21597.38	10725.300000000003	13277.039999999997	4693.9000000000015	35500.60999999999	9163.44	16368.21	9688.59	24251.15	6877.25	15814.460000000003	18375.47	18960.7	24455.269999999993	17974.45	21511.179999999997
MicroRNAs in cancer [PATH:ko05206]	2301.82	1193.7	2234.2000000000003	1231.9	1740.0	370.6	1785.6899999999994	1425.83	1175.18	822.5	1395.65	501.04	969.7100000000002	1823.5500000000002	1687.2099999999998	2084.2400000000007	1501.9499999999998	2163.5899999999997
Mineral absorption [PATH:ko04978]	493.25	398.02	840.7899999999998	606.8	500.75	175.25	2150.11	605.4200000000001	1174.5899999999997	618.8399999999999	1558.3200000000004	420.57000000000005	1045.0800000000002	1645.5599999999995	1559.6200000000001	2194.3200000000006	1683.5800000000006	1727.7699999999998
Mismatch repair [PATH:ko03430]	16328.900000000001	9933.449999999999	24301.979999999996	11479.300000000003	14093.949999999999	4658.300000000001	38333.51000000001	10978.52	18886.910000000003	11501.67	26561.770000000004	7769.07	18954.049999999996	23291.579999999994	23825.519999999997	31660.64	24173.390000000007	27840.00999999999
Mitochondrial biogenesis [BR:ko03029]	25719.959999999985	15392.529999999997	38948.049999999996	18485.099999999995	22228.3	7434.300000000002	61960.1	17425.41	30641.719999999994	17555.26	42701.91000000001	12730.010000000002	30425.279999999988	37680.04999999999	38690.26	49528.96	38187.440000000024	44282.419999999984
Monobactam biosynthesis [PATH:ko00261]	5380.330000000001	2942.1099999999997	7269.179999999999	3431.500000000001	4491.8	1535.65	9865.7	2259.51	4527.2	2512.83	6971.51	2100.25	4811.349999999999	6048.169999999998	6325.5999999999985	7958.96	5885.3200000000015	6842.859999999998
N-Glycan biosynthesis [PATH:ko00510]	348.38	127.67	713.08	292.8	249.46	111.0	1775.28	288.67	889.92	487.24	1415.48	348.91	707.59	632.25	753.41	973.33	579.5799999999998	1077.4
NOD-like receptor signaling pathway [PATH:ko04621]	3335.41	1748.2999999999997	4886.470000000001	2266.1000000000004	2499.71	1114.65	6026.96	1223.0	2538.44	1360.2399999999998	3932.210000000001	1163.22	2697.8999999999996	2156.1200000000003	2396.8900000000003	3091.7199999999993	2391.42	3209.15
Naphthalene degradation [PATH:ko00626]	668.01	624.45	824.1399999999998	669.5	1090.05	190.55	817.3299999999999	425.83	393.62	305.18999999999994	501.18	219.02	548.41	1673.7800000000002	1547.3700000000003	1922.3400000000001	1794.6299999999999	1075.62
Necroptosis [PATH:ko04217]	4332.4400000000005	2877.0000000000005	6444.43	3143.2000000000003	4008.34	1233.0	7473.289999999999	1898.49	3338.17	2002.9100000000003	4774.420000000002	1562.0599999999995	3318.8500000000004	4062.5199999999995	4231.4800000000005	5430.37	4153.7300000000005	5101.280000000001
Neomycin	1171.54	718.16	1575.2500000000002	858.3000000000002	924.22	339.8	2225.04	565.24	1120.35	733.66	1594.92	470.06	1010.81	1184.7599999999998	1300.32	1488.32	1162.0	1368.94
Neuroactive ligand-receptor interaction [PATH:ko04080]	0.0	0.0	0.0	0.0	0.0	0.0	90.0	5.5	1.5	0.0	5.0	0.0	5.0	5.0	3.0	0.5	3.0	2.0
Nicotinate and nicotinamide metabolism [PATH:ko00760]	10430.27	6322.99	15004.689999999999	7157.100000000001	9227.85	2814.6500000000005	24853.889999999996	6158.670000000001	13127.230000000003	6714.279999999999	18576.77	5398.63	12288.110000000004	14465.45	14897.370000000004	18468.55	12737.53	15620.04
Nitrogen metabolism [PATH:ko00910]	7444.380000000001	4446.14	10853.63	5262.7	6487.94	2059.1000000000004	16072.679999999998	3203.66	6643.499999999999	3842.66	10443.3	2864.01	6852.839999999998	7905.659999999998	8768.179999999998	11493.699999999999	8772.14	10929.410000000002
Nitrotoluene degradation [PATH:ko00633]	909.24	452.0	572.67	663.0	420.32000000000005	277.1	1866.0700000000002	126.99	265.75	159.5	888.5	229.45	409.78	642.96	594.9000000000001	1147.3400000000001	858.42	991.1
Non-alcoholic fatty liver disease [PATH:ko04932]	0.0	0.0	0.0	8.0	1.0	0.0	411.5	26.0	155.5	24.0	231.5	21.099999999999998	357.29999999999995	341.79999999999995	493.09999999999997	498.59999999999997	286.20000000000005	125.30000000000001
Non-homologous end-joining [PATH:ko03450]	0.0	6.0	160.0	81.0	2.0	104.0	20.0	0.0	8.0	20.0	21.0	22.0	33.0	0.0	1.0	0.0	1.0	0.0
Nonribosomal peptide structures [PATH:ko01054]	158.75	173.25	270.75	297.5	254.0	32.25	563.24	176.5	389.49	244.01	485.81000000000006	125.24	391.16	159.50000000000003	196.16	251.49000000000007	319.8300000000001	266.24
Novobiocin biosynthesis [PATH:ko00401]	2594.17	1408.6499999999999	3960.6699999999996	1900.4	2257.13	723.6500000000001	5710.09	1015.4900000000001	2024.4000000000003	1132.5800000000002	3185.0700000000006	1043.37	2275.370000000001	2155.27	2695.0099999999993	3511.8700000000003	2675.77	3531.4500000000007
Nucleotide excision repair [PATH:ko03420]	7941.9800000000005	4786.409999999999	11709.73	5559.400000000001	6755.300000000001	2317.1000000000004	18330.809999999998	5124.7	8990.730000000001	5441.219999999999	12754.099999999999	3861.1800000000003	9051.65	11337.229999999998	11462.539999999999	14912.619999999999	11194.69	13116.219999999996
Nucleotide metabolism	160.5	264.71	513.68	134.0	379.01000000000005	121.8	370.09000000000003	563.51	143.82	384.93999999999994	166.69	158.67000000000002	394.46	1422.3700000000003	1233.6900000000005	1498.9999999999998	1786.7999999999997	1213.0700000000002
