Species	E1	E2	E3	E4	E5	E6	E7	N1	N2	O1	O2	S1	All
Chlorella sp. ArM0029B	0	0	0	0	0	0	0	0	0	0	0	0.719	0.0
Serratia sp. DD3	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Soortia roseihalophila	0	0.719	0	0	0	0	0	0	0	0	0	0	0.0
Ruegeria sp. S11AQ	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Schizothrix aff. septentrionalis LEGE 07164	0	0	0	0	0	0.719	0	0	0	0	0	0	0.0
Roseibacterium elongatum	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Chroomonas placoidea	0.719	0	0	0	0	0	0	0	0	0	0	0	0.0
Rhodospirillum sp. KYW360	0	0	0	0	0	0	0.719	0	0	0	0	0	0.0
Rhodovulum marinum	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Chromatiales bacterium S2	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Roseobacter sp. LA7	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Roseivirga sp. F8	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Roseobacter sp.	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Sphingorhabdus wooponensis	0	0	0	0	0	0	0	0	0.719	0	0	0	0.0
Synedra hyperborea	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Terasakiella pusilla	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Synechococcus sp. RS9909	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Synechocystis sp. LEGE 06083	1.44	0	0	0	0	0	0	0	0	0	0	0	0.0
Thiocapsa pendens	0	0	0	0	0	0	0	0	0	0	0	0.719	0.0
Thiocapsa sp. MTRDDF078	0	0	0	0	0	0	0.719	0	0	0	0	0	0.0
Cherax quadricarinatus	0	0	0	0	0	0	0	0	0	0.719	0	0	0.0
Thioalkalivibrio sp.	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Storeatula sp. CCMP1868	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Streptococcus pneumoniae	0	0	0.719	0	0	0	0	0	0	0	0	0	0.0
Spirobacillus cienkowskii	0	0	0	0	0	0	0	0.719	0	0	0	0	0.0
Spirulina major PCC 6313	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Synechococcus sp. CCY9202	0	0	0	0	0	0	0	0	0	0	0	0.719	0.0
Synechococcus sp. MLCB	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Chlamydomonas asymmetrica	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Sulfurovum sp. enrichment culture clone C5	0	0	0	0	0	0	0.719	0	0	0	0	0	0.0
Rhodomonas salina	0	0	0	0	0	0.719	0	0	0	0	0	0	0.0
Porphyridium aerugineum	0	0	0	0	0	0	0	0	0.719	0	0	0	0.0
Porphyrobacter sanguineus	0.719	0	0	0	0	0	0	0	0	0	0	0	0.0
Polynucleobacter acidiphobus	0	0	0	0	0	0	0	0	0.719	0	0	0	0.0
Polynucleobacter cosmopolitanus	0	0	0	0	0	0	0	0	0.719	0	0	0	0.0
Pseudanabaena cf. persicina TAU-MAC 1415	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Pseudoalteromonas sp. AB198d	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Portibacter lacus	0	0	0	0	0	0	0.719	0	0	0	0	0	0.0
Prochlorothrix hollandica PCC 9006 = CALU 1027	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Planctonema lauterbornii	0	0	0	0	0	0	0.719	0	0	0	0	0	0.0
Planktothrix agardhii CCAP 1459/36	0	0	0	0	0	0	0	0	0.719	0	0	0	0.0
Phytophthora pluvialis	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Cysteiniphilum litorale	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Planococcus sp. QHL14	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Cyclobacteriaceae bacterium	0	0	0	0	0	0	0.719	0	0	0	0	0	0.0
Planktothrix paucivesiculata PCC 8926	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Planktothrix sp. PCC 9018	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Pseudoalteromonas tunicata	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Clostridium sp. enrichment culture clone VanCtr93	0	0	0	0	0	0	0	0	0	0	0	0.719	0.0
Clostridium grantii	0	0	0	0	0	0	0	0	0	0.719	0	0	0.0
Rhodobacter sp.	0.719	0	0	0	0	0	0	0	0	0	0	0	0.0
Coraliomargarita sp.	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Chrysochromulina sp. CCMP291	0	0	0	0	0	0	0	0	0.719	0	0	0	0.0
Rhodobacteraceae bacterium W09	0	0	0	0	0	0	0	0	0	0	0	0.719	0.0
Clostridium aestuarii	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Rhodobacteraceae bacterium MA-7-27	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Pseudomarivita litorea	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Pseudomonas sp. MA1	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Pseudochlorella pringsheimii	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Pseudochloris wilhelmii	0.719	0	0	0	0	0	0	0	0	0	0	0	0.0
Cyanobium sp. PCC 9005	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Rheinheimera baltica	0	0	0	0	0.719	0	0	0	0	0	0	0	0.0
Pyramimonas parkeae	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Cyanobium sp. Suigetsu-CR1	0	0	0	0	0	0	0	0	0	0	0	0	0.0
